"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401282669","BYU","66","Virginia","49","BYU -2.5","Bovada","66","-2.5","-2.5","64","-130","110"
"401282669","BYU","66","Virginia","49","BYU -2.5","teamrankings","66.5","-2.5","","","",""
"401282669","BYU","66","Virginia","49","BYU -2.5","consensus","66.5","-2.5","","","",""
"401282669","BYU","66","Virginia","49","BYU -2","William Hill (New Jersey)","67","-2","","","",""
"401309913","BYU","17","Boise State","26","BYU -6","teamrankings","58","-6","","","",""
"401309913","BYU","17","Boise State","26","BYU -6","consensus","58","-6","","","",""
"401309913","BYU","17","Boise State","26","BYU -6","William Hill (New Jersey)","58","-6","","","",""
"401309913","BYU","17","Boise State","26","BYU -6.5","Bovada","57.5","-6.5","-3.5","56","-235","195"
"401331168","BYU","28","UAB","31","BYU -7.0","Bovada","54.5","-7","-8","55","-275","225"
"401331168","BYU","28","UAB","31","BYU -5.5","teamrankings","54.5","-5.5","","","",""
"401331168","BYU","28","UAB","31","BYU -6","consensus","54","-6","","","",""
"401331168","BYU","28","UAB","31","BYU -6","William Hill (New Jersey)","54","-6","","","",""
"401309912","Utah State","20","BYU","34","BYU -9","teamrankings","66","9","","","",""
"401309912","Utah State","20","BYU","34","BYU -8","consensus","65.5","8","","","",""
"401309912","Utah State","20","BYU","34","BYU -8","William Hill (New Jersey)","65.5","8","","","",""
"401309912","Utah State","20","BYU","34","BYU -9.0","Bovada","66","9","8.5","58","310","-415"
"401309645","Georgia Southern","17","BYU","34","BYU -20","teamrankings","57","20","","","",""
"401309645","Georgia Southern","17","BYU","34","BYU -20","consensus","57.5","20","","","",""
"401309645","Georgia Southern","17","BYU","34","BYU -20","William Hill (New Jersey)","57","20","","","",""
"401309645","Georgia Southern","17","BYU","34","BYU -20.0","Bovada","57.5","20","20","57","750","-1400"
"401309910","USC","31","BYU","35","BYU -8.5","teamrankings","65.5","8.5","","","",""
"401309910","USC","31","BYU","35","BYU -8.5","consensus","65.5","8.5","","","",""
"401309910","USC","31","BYU","35","BYU -8.5","William Hill (New Jersey)","65.5","8.5","","","",""
"401309910","USC","31","BYU","35","BYU -7.0","Bovada","65","7","7","64.5","210","-250"
"401287920","Baylor","38","BYU","24","Baylor -5.5","teamrankings","52.5","-5.5","","","",""
"401287920","Baylor","38","BYU","24","Baylor -5.5","consensus","52.5","-5.5","","","",""
"401287920","Baylor","38","BYU","24","Baylor -5.5","William Hill (New Jersey)","52.5","-5.5","","","",""
"401287920","Baylor","38","BYU","24","Baylor -5.0","Bovada","52","-5","-5","48","-210","175"
"401309881","Washington State","19","BYU","21","BYU -4.0","Bovada","56.5","4","1","53","155","-180"
"401309881","Washington State","19","BYU","21","BYU -3.5","teamrankings","56.5","3.5","","","",""
"401309881","Washington State","19","BYU","21","BYU -3.5","consensus","56.5","3.5","","","",""
"401309881","Washington State","19","BYU","21","BYU -3.5","William Hill (New Jersey)","56.5","3.5","","","",""
"401309841","Arizona","16","BYU","24","BYU -12.5","Bovada","53.5","12.5","10","54.5","350","-500"
"401309841","Arizona","16","BYU","24","BYU -13.5","teamrankings","54","13.5","","","",""
"401309841","Arizona","16","BYU","24","BYU -13.5","numberfire","53.5","13.5","","","",""
"401309841","Arizona","16","BYU","24","BYU -13.5","consensus","54","13.5","","","",""
"401309841","Arizona","16","BYU","24","BYU -13.5","William Hill (New Jersey)","54","13.5","","","",""
"401309848","BYU","26","Utah","17","Utah -7","teamrankings","50","7","","","",""
"401309848","BYU","26","Utah","17","Utah -7.5","numberfire","49.5","7.5","","","",""
"401309848","BYU","26","Utah","17","Utah -7","consensus","50.5","7","","","",""
"401309848","BYU","26","Utah","17","Utah -7","William Hill (New Jersey)","50.5","7","","","",""
"401309848","BYU","26","Utah","17","Utah -7.0","Bovada","49.5","7","7","47","230","-280"
"401309914","BYU","59","Idaho State","14","BYU -36.5","consensus","55","-36.5","","","",""
"401309914","BYU","59","Idaho State","14","BYU -36.5","William Hill (New Jersey)","55","-36.5","","","",""
"401309914","BYU","59","Idaho State","14","BYU -36.0","Bovada","55","-36","-36","54","",""
"401301009","BYU","35","South Florida","27","BYU -23.5","Bovada","54","-23.5","-23.5","52","-2300","1025"
"401301009","BYU","35","South Florida","27","BYU -23.5","teamrankings","54.5","-23.5","","","",""
"401301009","BYU","35","South Florida","27","BYU -23.5","consensus","54.5","-23.5","","","",""
"401301009","BYU","35","South Florida","27","BYU -24","William Hill (New Jersey)","54.5","-24","","","",""
"401309854","BYU","27","Arizona State","17","Arizona State -3.5","teamrankings","50.5","3.5","","","",""
"401309854","BYU","27","Arizona State","17","Arizona State -3.5","numberfire","51.5","3.5","","","",""
"401309854","BYU","27","Arizona State","17","Arizona State -3","consensus","50.5","3","","","",""
"401309854","BYU","27","Arizona State","17","Arizona State -3","William Hill (New Jersey)","50.5","3","","","",""
"401309854","BYU","27","Arizona State","17","Arizona State -3.5","Bovada","50.5","3.5","2.5","50.5","145","-170"
