"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401520152","BYU","14","Sam Houston","0","BYU -20","DraftKings","46.5","-20","-23.5","51.5","-1200","850"
"401520152","BYU","14","Sam Houston","0","BYU -20.0","Bovada","46.5","-20","-20","51","-2000","950"
"401520152","BYU","14","Sam Houston","0","BYU -22.5","teamrankings","50.5","-22.5","","","",""
"401520152","BYU","14","Sam Houston","0","BYU -19","William Hill (New Jersey)","46.5","-19","","","",""
"401525886","BYU","13","Iowa State","45","Iowa State -7.5","Bovada","41.5","7.5","7","42.5","240","-290"
"401525886","BYU","13","Iowa State","45","Iowa State -7","DraftKings","43","7","7","43","235","-290"
"401525886","BYU","13","Iowa State","45","Iowa State -7.5","ESPN Bet","40.5","7.5","","","",""
"401525893","BYU","24","Oklahoma","31","Oklahoma -24","DraftKings","57","24","24","57","1200","-2400"
"401525893","BYU","24","Oklahoma","31","Oklahoma -24.5","Bovada","58.5","24.5","24","57.5","1100","-3300"
"401525893","BYU","24","Oklahoma","31","Oklahoma -24.5","ESPN Bet","58.5","24.5","","","",""
"401525867","BYU","27","Texas Tech","14","Texas Tech -3.0","Bovada","50","3","4","51.5","130","-150"
"401525867","BYU","27","Texas Tech","14","Texas Tech -3","DraftKings","51","3","3.5","51","120","-142"
"401525867","BYU","27","Texas Tech","14","Texas Tech -3","William Hill (New Jersey)","49","3","","","",""
"401520220","Arkansas","31","BYU","38","Arkansas -7.5","Bovada","47.5","-7.5","-10","52","-390","295"
"401520220","Arkansas","31","BYU","38","Arkansas -9","William Hill (New Jersey)","48","-9","","","",""
"401525828","BYU","41","Southern Utah","16","BYU -31","DraftKings","49.5","-31","-31","49.5","",""
"401525828","BYU","41","Southern Utah","16","BYU -30.5","William Hill (New Jersey)","46.5","-30.5","","","",""
"401525851","BYU","35","Cincinnati","27","Cincinnati -2","DraftKings","50.5","2","-2.5","50","110","-130"
"401525851","BYU","35","Cincinnati","27","BYU -2.5","Bovada","48","-2.5","-3","50","-135","115"
"401525851","BYU","35","Cincinnati","27","BYU -1","William Hill (New Jersey)","47.5","-1","","","",""
"401525885","West Virginia","37","BYU","7","West Virginia -12.5","ESPN Bet","47.5","-12.5","","","",""
"401525885","West Virginia","37","BYU","7","West Virginia -12.5","Bovada","49","-12.5","-9","51","-410","305"
"401525885","West Virginia","37","BYU","7","West Virginia -13","DraftKings","48.5","-13","-8","","-500","380"
"401525877","Texas","35","BYU","6","Texas -20.5","Bovada","49.5","-20.5","-19","50.5","-1200","700"
"401525877","Texas","35","BYU","6","Texas -18.5","DraftKings","50","-18.5","-17.5","50.5","-1200","750"
"401525877","Texas","35","BYU","6","Texas -20.5","William Hill (New Jersey)","48.5","-20.5","","","",""
"401525865","TCU","44","BYU","11","TCU -5","DraftKings","52.5","-5","-5","52","-205","170"
"401525865","TCU","44","BYU","11","TCU -5.0","Bovada","53.5","-5","-5","52","-210","175"
"401525865","TCU","44","BYU","11","TCU -5","William Hill (New Jersey)","52.5","-5","","","",""
"401525905","Oklahoma State","40","BYU","34","Oklahoma State -17.5","DraftKings","","-17.5","-17.5","","-750","525"
"401525905","Oklahoma State","40","BYU","34","Oklahoma State -16.5","ESPN Bet","54.5","-16.5","","","",""
"401525905","Oklahoma State","40","BYU","34","Oklahoma State -15.5","Bovada","55.5","-15.5","-17.5","57","-950","600"
"401525847","Kansas","38","BYU","27","Kansas -9.5","Bovada","54.5","-9.5","-8","55.5","-320","260"
"401525847","Kansas","38","BYU","27","Kansas -9.5","DraftKings","54.5","-9.5","-9","55.5","-355","285"
"401525847","Kansas","38","BYU","27","Kansas -9","William Hill (New Jersey)","55.5","-9","","","",""
