"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401246275","BYU","45","Louisiana Tech","14","BYU -24","teamrankings","61.5","-24","","","",""
"401246275","BYU","45","Louisiana Tech","14","BYU -24.5","numberfire","60.5","-24.5","","","",""
"401246275","BYU","45","Louisiana Tech","14","BYU -24","consensus","61","-24","","","",""
"401246275","BYU","45","Louisiana Tech","14","BYU -24","Caesars","61","-24","","","",""
"401246275","BYU","45","Louisiana Tech","14","BYU -24.0","Bovada","62","-24","","","",""
"401236223","BYU","48","Troy","7","BYU -14.5","Bovada","59","-14.5","","","",""
"401236223","BYU","48","Troy","7","BYU -14.5","teamrankings","58.5","-14.5","","","",""
"401236223","BYU","48","Troy","7","BYU -14.5","numberfire","58.5","-14.5","","","",""
"401236223","BYU","48","Troy","7","BYU -14.5","consensus","58.5","-14.5","","","",""
"401236223","BYU","48","Troy","7","BYU -14.5","Caesars","58.5","-14.5","","","",""
"401240997","BYU","27","UTSA","20","BYU -34","teamrankings","63.5","-34","","","",""
"401240997","BYU","27","UTSA","20","BYU -34.5","numberfire","63.5","-34.5","","","",""
"401240997","BYU","27","UTSA","20","BYU -34","consensus","63","-34","","","",""
"401240997","BYU","27","UTSA","20","BYU -34","Caesars","63.5","-34","","","",""
"401209818","BYU","66","North Alabama","14","BYU -50","consensus","63","-50","","","",""
"401212551","Houston","26","BYU","43","BYU -3","teamrankings","62","3","","","",""
"401212551","Houston","26","BYU","43","BYU -3.5","numberfire","62.5","3.5","","","",""
"401212551","Houston","26","BYU","43","BYU -3","consensus","62.5","3","","","",""
"401212551","Houston","26","BYU","43","BYU -3.5","SugarHouse","62.5","3.5","","","",""
"401212551","Houston","26","BYU","43","BYU -3","Caesars","62","3","","","",""
"401234576","Navy","3","BYU","55","BYU -1","teamrankings","48.5","1","","","",""
"401234576","Navy","3","BYU","55","BYU -1.5","numberfire","48.5","1.5","","","",""
"401234576","Navy","3","BYU","55","BYU -1","consensus","48.5","1","","","",""
"401234576","Navy","3","BYU","55","BYU -1.5","Caesars","48","1.5","","","",""
"401234576","Navy","3","BYU","55","BYU -1.0","Bovada","48","1","","","",""
"401240998","BYU","52","Texas State","14","BYU -30.5","Bovada","61.5","-30.5","","","",""
"401240998","BYU","52","Texas State","14","BYU -30","teamrankings","62","-30","","","",""
"401240998","BYU","52","Texas State","14","BYU -29.5","numberfire","62.5","-29.5","","","",""
"401240998","BYU","52","Texas State","14","BYU -30","consensus","61.5","-30","","","",""
"401240998","BYU","52","Texas State","14","BYU -29","SugarHouse","61.5","-29","","","",""
"401240998","BYU","52","Texas State","14","BYU -30","Caesars","62","-30","","","",""
"401239887","BYU","41","Western Kentucky","10","BYU -30.5","teamrankings","52","-30.5","","","",""
"401239887","BYU","41","Western Kentucky","10","BYU -30.5","numberfire","52.5","-30.5","","","",""
"401239887","BYU","41","Western Kentucky","10","BYU -31","consensus","52.5","-31","","","",""
"401239887","BYU","41","Western Kentucky","10","BYU -30.5","SugarHouse","52.5","-30.5","","","",""
"401239887","BYU","41","Western Kentucky","10","BYU -31","Caesars","52","-31","","","",""
"401239887","BYU","41","Western Kentucky","10","BYU -28.5","Bovada","","-28.5","","","",""
"401249005","Boise State","17","BYU","51","BYU -4","teamrankings","62.5","4","","","",""
"401249005","Boise State","17","BYU","51","BYU -4.5","numberfire","63.5","4.5","","","",""
"401249005","Boise State","17","BYU","51","BYU -4.5","consensus","62.5","4.5","","","",""
"401249005","Boise State","17","BYU","51","BYU -5","Caesars","62.5","5","","","",""
"401249005","Boise State","17","BYU","51","BYU -3.0","Bovada","59","3","","","",""
"401237514","Coastal Carolina","22","BYU","17","Coastal Carolina -11.0","Bovada","53.5","-11","","","",""
"401237514","Coastal Carolina","22","BYU","17","BYU -10","teamrankings","63","10","","","",""
"401237514","Coastal Carolina","22","BYU","17","BYU -10.5","numberfire","62.5","10.5","","","",""
"401237514","Coastal Carolina","22","BYU","17","BYU -10.5","consensus","62.5","10.5","","","",""
"401237514","Coastal Carolina","22","BYU","17","BYU -10.5","Caesars","62.5","10.5","","","",""
"401249435","BYU","28","San Diego State","14","BYU -17.0","Bovada","47.5","-17","","","",""
"401249435","BYU","28","San Diego State","14","BYU -16.5","teamrankings","47","-16.5","","","",""
"401249435","BYU","28","San Diego State","14","BYU -16.5","numberfire","47.5","-16.5","","","",""
"401249435","BYU","28","San Diego State","14","BYU -16.5","consensus","47.5","-16.5","","","",""
"401249435","BYU","28","San Diego State","14","BYU -16.5","William Hill (New Jersey)","47.5","-16.5","","","",""
"401256137","BYU","49","UCF","23","BYU -6","teamrankings","79","-6","","","",""
"401256137","BYU","49","UCF","23","BYU -6.5","numberfire","79.5","-6.5","","","",""
"401256137","BYU","49","UCF","23","BYU -6","consensus","80","-6","","","",""
"401256137","BYU","49","UCF","23","BYU -6","William Hill (New Jersey)","79.5","-6","","","",""
