"Id","HomeTeam","HomeScore","AwayTeam","AwayScore","FormattedSpread","LineProvider","OverUnder","Spread","OpeningSpread","OpeningOverUnder","HomeMoneyline","AwayMoneyline"
"401636898","BYU","38","Oklahoma State","35","BYU -8.5","DraftKings","53","-8.5","-7.5","","-325","260"
"401636898","BYU","38","Oklahoma State","35","BYU -8.5","Bovada","53","-8.5","-8","55.5","-350","275"
"401636898","BYU","38","Oklahoma State","35","BYU -7.5","ESPN Bet","52.5","-7.5","-9","55.5","-320","260"
"401636872","BYU","38","Kansas State","9","Kansas State -7.5","DraftKings","49.5","7.5","","","220","-270"
"401636872","BYU","38","Kansas State","9","Kansas State -7.0","Bovada","49.5","7","7.5","47.5","215","-260"
"401636872","BYU","38","Kansas State","9","Kansas State -7.5","ESPN Bet","48.5","7.5","7","47.5","240","-290"
"401636871","Wyoming","14","BYU","34","BYU -9.5","ESPN Bet","40.5","9.5","8.5","39.5","290","-360"
"401636871","Wyoming","14","BYU","34","BYU -9.5","Bovada","39.5","9.5","11","40.5","305","-410"
"401636871","Wyoming","14","BYU","34","BYU -10","DraftKings","39.5","10","10","39.5","275","-345"
"401677099","Colorado","14","BYU","36","Colorado -3","DraftKings","55.5","-3","","","-148","124"
"401677099","Colorado","14","BYU","36","Colorado -2.5","ESPN Bet","53.5","-2.5","-2","53.5","-155","135"
"401677099","Colorado","14","BYU","36","Colorado -3.0","Bovada","55.5","-3","-3","54","-145","125"
"401636893","BYU","41","Arizona","19","BYU -3","DraftKings","48.5","-3","1","","-148","120"
"401636893","BYU","41","Arizona","19","BYU -2.5","Bovada","48.5","-2.5","-3.5","49.5","-185","160"
"401636893","BYU","41","Arizona","19","BYU -2.5","ESPN Bet","48.5","-2.5","-3.5","49.5","-150","130"
"401636880","Baylor","28","BYU","34","Baylor -3","DraftKings","47","-3","-1","","-155","130"
"401636880","Baylor","28","BYU","34","Baylor -3.5","ESPN Bet","46.5","-3.5","-3","45.5","-150","130"
"401636880","Baylor","28","BYU","34","Baylor -3.0","Bovada","46.5","-3","-3.5","45","-160","135"
"401636911","UCF","24","BYU","37","UCF -2.5","Bovada","53.5","-2.5","-1","54.5","105","-125"
"401636911","UCF","24","BYU","37","UCF -2.5","ESPN Bet","53.5","-2.5","1.5","54.5","-145","125"
"401636911","UCF","24","BYU","37","UCF -2.5","DraftKings","53.5","-2.5","1","","-130","110"
"401636922","Utah","21","BYU","22","BYU -3.5","ESPN Bet","40.5","3.5","4.5","41.5","145","-170"
"401636922","Utah","21","BYU","22","BYU -3","DraftKings","40.5","3","-16.5","","124","-148"
"401636922","Utah","21","BYU","22","BYU -3.0","Bovada","40.5","3","4.5","41.5","170","-200"
"401636924","BYU","13","Kansas","17","BYU -3","DraftKings","55.5","-3","-7","","-142","120"
"401636924","BYU","13","Kansas","17","BYU -2.0","Bovada","56.5","-2","-3.5","55.5","-170","145"
"401636924","BYU","13","Kansas","17","BYU -2.5","ESPN Bet","55.5","-2.5","-3","55.5","-140","120"
"401636930","Arizona State","28","BYU","23","Arizona State -3.5","DraftKings","49","-3.5","-1","","-170","142"
"401636930","Arizona State","28","BYU","23","Arizona State -3.5","Bovada","48.5","-3.5","-3.5","48","-170","145"
"401636930","Arizona State","28","BYU","23","Arizona State -3.5","ESPN Bet","48.5","-3.5","-3.5","48.5","-170","145"
"401636942","BYU","30","Houston","18","BYU -12.0","Bovada","40.5","-12","-12","41","-500","360"
"401636942","BYU","30","Houston","18","BYU -9.5","ESPN Bet","39.5","-9.5","-12.5","41.5","-450","340"
"401636942","BYU","30","Houston","18","BYU -12.5","DraftKings","40.5","-12.5","-11","","-470","360"
"401634765","SMU","15","BYU","18","SMU -12.5","ESPN Bet","55.5","-12.5","-10.5","55.5","-500","380"
"401634765","SMU","15","BYU","18","SMU -11.5","DraftKings","56","-11.5","-11","54.5","-500","380"
"401634765","SMU","15","BYU","18","SMU -13.0","Bovada","56","-13","-11.5","52","-490","355"
